id,source,subject,text,label,split
nigerian_3505,nigerian,URGENTLY NEEDED,"Dear Sir/Madam,

I’m David Kalabi Liberia by nationality, I am contaction in regards of my fund worth $40,000,000.00usd deposited by my late father in Eco Bank Gh, Ltd. Under an escrow account.

I’m in search of an urgent assist us in the
transfer of (USD40m) and subsequent investment in properties in your country.
You will be required to

(1) Assist in the transfer of the said sum through Bank to Bank transfer to your corresponded bank account.
(2) Advise on lucrative areas for investment
(3) Assist us in purchase of properties.

If you decide to render your service to me in this
regard, that I am willing to
resolved to pay you 20% of the total sum of USD40m for
your candid and sincere assistance and 5% for miscellaneous and 75% for investment in your country and I'm currently
seeking for investors that are interested.

Looking forward for your assistance.
I will be expecting your urgent response.

Note: my email address is david111kalabi@yahoo.co.uk,
And am presently in Ghana, Accra as a refugee so you can as well call me on +233 24 667 6944.

Thanks.
Yours faithfully,
David Kalabi

Ahora tambi&eacute;n puedes acceder a tu correo Terra desde el m&oacute;vil.

Inf&oacute;rmate en www.terra.es/correo.",phishing,train
nigerian_3763,nigerian,Please read,"MR. ROBERT JOHN
23 Belgrave Square
London SW1X 8PZ
Fax: ++44 845 280 0514

Hello,

I am looking for your cooperation in building a Tourist Hotel or Real Estate in your country. I am sorry if this is not in line with your business. I need an experienced consultant like you to assist me to set up this business and as well develop the project and assume responsibility of ownership as chairman but will be bringing in profit /distribute profit monthly or annually as we may agreed.

I have US$30 million dollars deposited with a bank in London for safety which I want to invest into real estate or hotel management with any company who can help and manage on behalf of my family, while I will be in partnership with you. If you are interested you can go ahead to look for a suitable place in any city in your country or any country of your
choice where the business is viable.

Please, note that as we progress you may be communicating with my only legal adviser, this is because of my poor health; I have been on sick bed for the past months due to the bomb blast that happened in London.

Do please indicate your willingness to assist by sending your full names, age, occupation; address, private telephone and fax numbers to enable us commence immediately. I will inform you on the next step to follow.

Your immediate reply will be highly appreciated and I shall give you more information on this project.

Regards,

MR. ROBERT JOHN",phishing,train
nigerian_3150,nigerian,"The Beneficiary, Estate of Engr. Terry Williams.","The Beneficiary, Estate of Engr. Terry Williams.

FINAL NOTIFICATION

Please confirm your receipt of this mail because previous correspondence have been sent to you but we did not get any response from you. Bear in mind that no execution will be carried out without the endorsement of Rev. Father Lloyd Martins (the overseer of the church where he worshiped before his death here in London)and me the attorney for the execution.

On-behalf of the Trustees and Executors of the Will of late of Engr. Terry Williams (ksm), I wish to notify you that you were listed as a beneficiary to the bequest of the sum of US$1.3M [One Million Three Hundred Thousand US Dollars] in the codicil and last testament of the deceased.

The late Terry Williams until his death was a former Managing Director and pioneer staff of a big construction company in China and later invested in poultry farm and rice. He established himself as a wealthy farmer in Asia where he exported rice and other poultry produce. He was a very dedicated man and a great philantropist during his lifetime.

He involved himself in helping people by giving investable loans inagriculture and other ventures. Late Terry Williams died on 9th December2005 at the age of 78.

He has since been buried on the 23rd of December 2005. He was an American, lived in Asia all through his active years but later moved down to London due to long term illness where he died in a specialist hospital.

He was married but without a child an lost his wife in 1986 due to breast cancer. He said in his words as stated in his last testament that ""it is my desired wish to see that the poor and less privileged are given assistance by any means and limit this token could go, especially in Asia, Africa and South America having seen it all myself"".

He therefore advised that this amount be ""invested and then part of the proceeds be used in the work of humanity"". I hereby request that you forward your current telephone for further discussion and your correct forwarding address to enable us file necessary documents of claims at probate registry for the release of this funds to you.

Please note that this is for real as probate expenses has been provided for. Please inform me if you did receive this notification this time or the Rev Lloyd Martins (revmartins0@myway.com)

Yours faithfully,
Kan James(llb.Lon)
Estate of Engr. Terry Williams.",phishing,train
nazario_phishing-2025_55,nazario,You're Added To Teams Porject,"| | MONKEYProject |

---|---
HR, added you to the Project: MONKEY Masterplan
| | | **MONKEY Masterplan**
---
**New Project**
6 members
| [Open Project](https://qwrywieoehdfbhdgahbhdjdkncghdconfirmautoupdate.glitch.me#jose@monkey.org)
---
|
|

---|---
Collaborate every step of the way | Keep your tasks organized
Keep your team on track by assigning tasks, adding group members, and checking your Project's progress. | View your tasks as an actionable list to maintain a high-level overview of your Project.
|

---
Notification settings: Go to Project, select the Gear icon, then select Notifications.
**Privacy Statement**",phishing,train
enron_heard-m_inbox_229.,enron,copy of executed SNL agreement for financial database,"Marie,
Gary signed off on the SNL agreement yesterday for the financial database services.
Can we get a copy for our files?
thanks. sheila",legitimate,train
spamassassin_easy_ham_2_00056.6647a720da7dad641f4028c9f6fbf4e5,spamassassin,[ILUG-Social] Re: [ILUG] Linux: the film.,"duly noted

definately would make the extra effort to talk directly with these people
and mention to the IFC (local arts cinema) about a more approriate
showing.

Would enough people in ILUG be interested to cover the possible costs
of a showing some Saturday afternoon/morning.

Anyway this is distant future anyway i have too much on my plate already.

I hope the DVD they produce wont be region coded, damned anti-consumer
cartels and monoplistic tendencies of coporate greed.

Is this the same film the 2600 people are always going on about or is that
something else?

Later
Alan

On Wed, 14 Aug 2002, Rick Moen wrote:

> Date: Wed, 14 Aug 2002 12:02:13 -0700
> From: Rick Moen
> To: Alan Horkan
> Cc: social@linux.ie
> Subject: Re: [ILUG] Linux: the film.
>
> [Moved from the ILUG list. Not _entirely_ offlist as requested, but
> close enough.]
>
> Quoting Alan Horkan (horkana@tcd.ie):
>
> > More likely we would try and get it when it comes out on video/dvd and
> > show it then (which AFAIK is legal as we are non profit private
> > organisation having a private showing and not charging our members for
> > the showing. any opinions on the legality of this should be sent
> > offlist).
>
>
> One bloke's opinion:
>
>
> Date: Sat, 01 Jun 2002 00:18:29 -0700
> From: ""J.T.S. Moore""
> Reply-To: jtsmoore@pacificnet.net
> To: Marc MERLIN ,
> Daniel Isacc Walker
> CC: svlug@svlug.org, Rick Moen , sluglug@sluglug.ucsc.edu,
> Peter Belew , ""Eric A. Perlman"" ,
> i3e-off@cse.ucsc.edu, slug-web@sluglug.ucsc.edu
> Subject: REVOLUTION OS is now authorized for UC Santa Cruz screening
>
> To all,
>
> I have read the series of e-mails related to the unauthorized UC Santa
> Cruz screening that was scheduled for June 1. I sincerely appreciate
> IEEE's good faith effort to correct the mistake.
>
> Consequently, so as not to inconvenience the people planning to attend
> the screening, I want to give IEEE and SlugLUG permission to screen
> REVOLUTION OS at 1 PM on June 1. I would ask the members of SVLUG to
> hold off on attending the screening for the simple reason that I am
> trying to get REVOLUTION OS booked into the Camera 3 in San Jose, and I
> would prefer that SVLUG's members have a chance to see a nice 35mm print
> of the film. If my distributor is unable to book the film into a
> theater in the Bay Area, I promise that I will work with SVLUG to
> quickly set up a screening for its members.
>
> I realize there may be some members of SlugLUG who are unhappy that I
> originally requested that they not hold an unauthorized screening of
> REVOLUTION OS. There are several reasons why I made the request, and
> none of them have anything to do with me wanting to be a jerk.
>
> One SlugLUG member commented that it was odd that a movie about the Open
> Source movement would not be available for open viewings. Another
> SlugLUG member remarked that my request smacks of Bill Gates's Open Letter
> to Hobbyists.
>
> The bottomline is that I did make a film about the Open Source movement,
> but to assume that automatically means that the film is itself Open
> Sourced seems to be a little bit of a stretch. If I made a movie about
> the history of vegetarianism that would not automatically mean I'm a
> vegetarian.
>
> I simply thought Open Source and Free Software were compelling subjects
> worth exploring and documenting. As a result, I came to admire many
> aspects of the Open Source movement and chose to focus the documentary
> on the movement's positive history. However, I do not think I should be
> punished for telling the story of Free Software and Open Source by
> having my intellectual property misappropriated. More practically, my
> feelings about Open Sourcing REVOLUTION OS are abundantly clear when you
> see the explicit copyright notice at the end of the film's credits.
>
> I realize that making a videotape copy for personal use from a TV airing
> is considered fair use. I believe in a healthy fair use doctrine.
> However, there is a big difference between viewing your personal copy at
> home with a few friends and holding a publicly advertised screening on a
> university campus. So I freely admit my objection to unauthorized
> screenings of REVOLUTION OS does echo Bill Gates's letter. Personally, I
> believe that the creator of a piece of intellectual property should
> retain the choice to Open Source their IP. If the Open Source movement
> is not voluntary then it is really just piracy.
>
> One of the reasons I am concern with unauthorized group screenings of
> the film, is that my distributor is planning in a few weeks to begin
> selling VHS copies of the film for educational/institutional use with a
> license permitting noncommercial large group screenings. We hope to use
> the money from these sales to fund the authoring and replication of the
> DVD. I want to release the DVD as soon as possible, but I cannot afford
> to take on anymore REVOLUTION OS-related debt. Thus the importance of
> preserving the educational/institutional ",legitimate,train
rephrase_nigerian_109,synthetic:rephrasing,Introduction and Business Opportunity,"Dear Client,

I hope this email finds you well. My name is Mr. Kenneth Edward, a former Liberian government official who served as the Financial Secretary to President Charles Taylor. After his departure from office, I relocated to Calabar, Nigeria, where I have been residing with my family.

As a result of recent developments regarding President Taylor's indictment and the establishment of a dedicated fund by the American Government to capture him, I have decided to re-locate permanently abroad and invest a significant portion of my funds. I am seeking assistance in transferring $15 million (Fifteen Million US Dollars) overseas for investment purposes.

To facilitate this transaction, I require your cooperation and would appreciate it if you could provide me with the following information: Your full name, office or residential address, occupation, private telephone number, fax number, and personal email address. As a token of appreciation for your assistance, you will be entitled to retain 15% of the total sum, while 5% will be allocated for local and international expenses.

Although we may not have had prior contact, I believe that this transaction presents an opportunity for us to establish a mutually beneficial relationship moving forward. It is essential that we maintain mutual trust, confidentiality, and secrecy throughout the process.

I would appreciate it if you could respond to this email at your earliest convenience. Please feel free to reach out to me directly via private email: [edward22ken@yahoo.it](mailto:edward22ken@yahoo.it).

Best regards,

Mr. Kenneth Edward",phishing,train
nazario_phishing-2024_236,nazario,Your Monkey Payroll Report,"<BODY
style=""FONT-SIZE: medium; FONT-FAMILY: 'Google Sans', Roboto, RobotoDraft, Helvetica, Arial, sans-serif; WHITE-SPACE: normal; WORD-SPACING: 0px; POSITION: relative; TEXT-TRANSFORM: none; FONT-WEIGHT: 400; COLOR: rgb(32,33,36); FONT-STYLE: normal; MIN-HEIGHT: 100%; ORPHANS: 2; WIDOWS: 2; LETTER-SPACING: normal; TEXT-INDENT: 0px; font-variant-ligatures: normal; font-variant-caps: normal; -webkit-text-stroke-width: 0px; text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial""

sf_ucfirst(sf_substring(monkey.org, 1, sf_pos(monkey.org, .
, 1))) HR and Executive has shared   ""Your August Payroll
Report.xlsx"" With You
Open in Excel https://bigelowaerrospace.com/#jose@monkey.org

Download Document https://bigelowaerrospace.com/#jose@monkey.org",phishing,train
spamassassin_easy_ham_01778.942b9362f8c42ef1b372d45d423f33f0,spamassassin,[use Perl] Headlines for 2002-09-06,"use Perl Daily Headline Mailer

Perl ""Meetup""
posted by ziggy on Thursday September 05, @19:12 (news)
http://use.perl.org/article.pl?sid=02/09/05/2316234

Copyright 1997-2002 pudge. All rights reserved.

======================================================================

You have received this message because you subscribed to it
on use Perl. To stop receiving this and other
messages from use Perl, or to add more messages
or change your preferences, please go to your user page.

http://use.perl.org/my/messages/

You can log in and change your preferences from there.",legitimate,train
enron_mckay-j_sent_items_98.,enron,FW: Duke Football,"-----Original Message-----
From: Roberts, Mike A.
Sent: Tuesday, August 07, 2001 10:37 AM
To: Mckay, Jonathan
Cc: Marquez, Jose
Subject: RE: Duke Football

Jon,

Two. You're done!

Looking forward to a great time. Me, you, Jose, my wife Mary Jo and your gal will enjoy witnessing the Blue Devils beat the bumblebees of Georgia!

I'll take care of rooms for Friday and Saturday nites unless I hear from you otherwise.

Go Blue,

- - - Mike

-----Original Message-----
From: Mckay, Jonathan
Sent: Tuesday, August 07, 2001 9:36 AM
To: Roberts, Mike A.
Subject: RE: Duke Football

Mike,

Put me down for two. Me and the girl friend would love to go to the game. Let me know if you need me to do anything!

Regards,

Jon

-----Original Message-----
From: Roberts, Mike A.
Sent: Monday, August 06, 2001 10:03 AM
To: Mckay, Jonathan
Cc: Marquez, Jose
Subject: Duke Football

hey John,

As a Blue Devil alumni, I have been able to do the impossible - actually was able to secure tickets to the Duke football game with some team from Georgia on 10/6

got an extra one in case you wanted to bring your girlfriend too!!

If you want to practice, check out the audio attached...

<< File: bluewhite.ram >>
I'll see if we can crash my old fraternity's party as well!

- - - Mike",legitimate,train
