id,label,subject,sa_score,sa_is_spam,sa_prediction,fired_rules,error
nazario_phishing-2020_4,phishing,You have 1 new order message (Via LinkedIn),-0.0,0,legitimate,"NO_RECEIVED,NO_RELAYS",
nazario_phishing-2020_5,phishing,Verify ownership of your account now,-0.0,0,legitimate,"NO_RECEIVED,NO_RELAYS,TVD_PH_BODY_ACCOUNTS_PRE",
nazario_phishing-2020_8,phishing,You have (7)incoming pending messages,-0.0,0,legitimate,"NO_RECEIVED,NO_RELAYS",
nazario_phishing-2020_7,phishing,Pending incoming emails(jose@monkey.org).,1.0,0,legitimate,"NO_RECEIVED,NO_RELAYS,URI_WPADMIN",
nazario_phishing-2020_6,phishing,Pending incoming emails(jose@monkey.org).,1.8,0,legitimate,"NO_RECEIVED,DKIM_ADSP_NXDOMAIN,NO_RELAYS,URI_WPADMIN",
nazario_phishing-2020_14,phishing,RE: Atualização do Outlook,-0.0,0,legitimate,"NO_RECEIVED,NO_RELAYS",
nazario_phishing-2020_15,phishing,jose@monkey.org you received files via WeTransfer,-0.0,0,legitimate,"NO_RECEIVED,NO_RELAYS",
nazario_phishing-2020_9,phishing,You've received a new file.,0.8,0,legitimate,"NO_RECEIVED,DKIM_ADSP_NXDOMAIN,NO_RELAYS",
nazario_phishing-2020_19,phishing,"[Action required] Account Locked [ Details:jose@monkey.org. No.
5365 ]",0.1,0,legitimate,"NO_RECEIVED,NO_RELAYS,TVD_PH_SEC",
nazario_phishing-2020_13,phishing,jose@monkey.org Messages could not be delivered.,-0.0,0,legitimate,"NO_RECEIVED,NO_RELAYS",
nazario_phishing-2020_16,phishing,Your Email account will be deactivated,0.8,0,legitimate,"NO_RECEIVED,DKIM_ADSP_NXDOMAIN,NO_RELAYS",
nazario_phishing-2020_20,phishing,Security Alert,0.8,0,legitimate,"NO_RECEIVED,DKIM_ADSP_NXDOMAIN,NO_RELAYS",
nazario_phishing-2020_21,phishing,jose@monkey.org have stopped processing incoming emails.,4.8,0,legitimate,"NO_RECEIVED,DKIM_ADSP_NXDOMAIN,NO_RELAYS,URI_PHISH",
nazario_phishing-2020_22,phishing,Payment On Hold,-0.0,0,legitimate,"NO_RECEIVED,NO_RELAYS",
nazario_phishing-2020_23,phishing,P0#492NH - Feb 10,-0.0,0,legitimate,"NO_RECEIVED,NO_RELAYS",
nazario_phishing-2020_24,phishing,Mail User Security Alert,-0.0,0,legitimate,"NO_RECEIVED,NO_RELAYS",
nazario_phishing-2020_25,phishing,Avast Internet Security Alert!!!,0.8,0,legitimate,"NO_RECEIVED,DKIM_ADSP_NXDOMAIN,NO_RELAYS",
nazario_phishing-2020_28,phishing,One (1) Notification For Pending Undelivered Mails,-0.0,0,legitimate,"NO_RECEIVED,NO_RELAYS",
nazario_phishing-2020_30,phishing,New Order,0.9,0,legitimate,"NO_RECEIVED,DKIM_ADSP_NXDOMAIN,NO_RELAYS,URI_HEX",
nazario_phishing-2020_32,phishing,Important Update Is Need On Your Card Is Needed!,4.8,0,legitimate,"NO_RECEIVED,DKIM_ADSP_NXDOMAIN,NO_RELAYS,TVD_PH_BODY_ACCOUNTS_PRE,URI_PHISH",
nazario_phishing-2020_31,phishing,Important Update Is Need On Your Card,4.0,0,legitimate,"NO_RECEIVED,NO_RELAYS,TVD_PH_BODY_ACCOUNTS_PRE,URI_PHISH",
nazario_phishing-2020_33,phishing,Email Capacity Upgrade,-0.0,0,legitimate,"NO_RECEIVED,NO_RELAYS",
nazario_phishing-2020_35,phishing,jose@monkey.org have stopped processing incoming emails.,4.8,0,legitimate,"NO_RECEIVED,DKIM_ADSP_NXDOMAIN,NO_RELAYS,URI_PHISH",
nazario_phishing-2020_39,phishing,Wijzigingen in onze Servicevoorwaarden en het Privacybeleid,-0.0,0,legitimate,"NO_RECEIVED,NO_RELAYS",
nazario_phishing-2020_37,phishing,Inward Remittance payment,-0.0,0,legitimate,"NO_RECEIVED,NO_RELAYS",
nazario_phishing-2020_12,phishing,Project Document Update Subcontractors/Suppliers,-0.0,0,legitimate,"NO_RECEIVED,NO_RELAYS",
nazario_phishing-2020_38,phishing,ACCOUNT DE-ACTIVATED,1.5,0,legitimate,"NO_RECEIVED,DKIM_ADSP_NXDOMAIN,SUBJ_ALL_CAPS,NO_RELAYS,TVD_PH_SEC,URI_HEX",
nazario_phishing-2020_41,phishing,Urgent Email Verification for monkey.org,0.8,0,legitimate,"NO_RECEIVED,DKIM_ADSP_NXDOMAIN,NO_RELAYS",
nazario_phishing-2020_42,phishing,We noticed yesterday someone has entered your account,-0.0,0,legitimate,"NO_RECEIVED,NO_RELAYS",
nazario_phishing-2020_46,phishing,Contact Us - 2020 WhatsApp New e-Statement File #029,0.8,0,legitimate,"NO_RECEIVED,DKIM_ADSP_NXDOMAIN,NO_RELAYS",
nazario_phishing-2020_47,phishing,"[ jose@monkey.org ] Confirm your Account recent Activities [
Customer ID No. 2853 ]",0.8,0,legitimate,"NO_RECEIVED,DKIM_ADSP_NXDOMAIN,NO_RELAYS",
nazario_phishing-2020_49,phishing,OTP: 992493 to authenticate payment,-0.0,0,legitimate,"NO_RECEIVED,NO_RELAYS",
nazario_phishing-2020_1,phishing,Your Wellsfargo Account and Card are Temporarily Locked .,-0.0,0,legitimate,"NO_RECEIVED,NO_RELAYS",
nazario_phishing-2020_29,phishing,Delivery Exception: Incorrect Delivery Address,-0.0,0,legitimate,"NO_RECEIVED,NO_RELAYS",
nazario_phishing-2020_48,phishing,Alerta Patagonia e-BanK,0.8,0,legitimate,"NO_RECEIVED,DKIM_ADSP_NXDOMAIN,NO_RELAYS",
nazario_phishing-2020_51,phishing,Email-Quota Limit Report,3.9,0,legitimate,"NO_RECEIVED,DKIM_ADSP_NXDOMAIN,NO_RELAYS,MXG_EMAIL_FRAG,GOOG_STO_NOIMG_HTML",
nazario_phishing-2020_50,phishing,One (1) Notification For Pending Undelivered Mails,-0.0,0,legitimate,"NO_RECEIVED,NO_RELAYS",
nazario_phishing-2020_52,phishing,Important Document !!!!!!,3.8,0,legitimate,"NO_RECEIVED,DKIM_ADSP_NXDOMAIN,NO_RELAYS,GOOG_STO_NOIMG_HTML",
nazario_phishing-2020_54,phishing,RE: [Highly Important] - Coronavirus outbreak in your city (Emergency),6.9,1,phishing,"NO_RECEIVED,DKIM_ADSP_NXDOMAIN,NO_RELAYS,MXG_EMAIL_FRAG,GOOG_STO_NOIMG_HTML,GOOG_STO_EMAIL_PHISH",
nazario_phishing-2020_57,phishing,PayPal : Verify your account information .,-0.0,0,legitimate,"NO_RECEIVED,NO_RELAYS",
nazario_phishing-2020_56,phishing,Upgrade Your Mailbox To Avoid Being restricted,3.0,0,legitimate,"NO_RECEIVED,NO_RELAYS,GOOG_STO_NOIMG_HTML",
