id,label,subject,score,prediction
zs_bulk_account_suspension_1,phishing,Urgent: Your Wells Fargo Account Suspended - Verify Now!,4.8,phishing
zs_bulk_account_suspension_2,phishing,Urgent: Wells Fargo Account Suspended Due to Security Concerns,4.0,phishing
zs_bulk_account_suspension_3,phishing,Urgent: Account Activity Notification from Wells Fargo,4.8,phishing
zs_bulk_account_suspension_5,phishing,Urgent: Account Activity Alert - Your Wells Fargo Account Has Been Suspended,7.0,phishing
zs_bulk_account_suspension_7,phishing,Urgent: Account Activity Alert - Wells Fargo Secure Access Notice,4.1,phishing
zs_bulk_account_suspension_4,phishing,Urgent: Account Suspended - Verify Your Identity Now!,4.0,phishing
zs_bulk_account_suspension_0,phishing,Urgent: Account Suspension Notification,7.8,phishing
zs_bulk_account_suspension_8,phishing,Urgent: Your Wells Fargo Account Temporarily Suspended,7.0,phishing
zs_bulk_account_suspension_6,phishing,Urgent: Account Activity Alert - Wells Fargo Secure Verify Required,4.0,phishing
zs_bulk_account_suspension_9,phishing,Urgent: Your Wells Fargo Account Temporarily Suspended - Verify Now!,7.8,phishing
zs_bulk_password_reset_0,phishing,"Your Email Password Expiration Notice - act by March 18, 2025!",0.9,legitimate
zs_bulk_password_reset_2,phishing,"Your Email Password Expiration Notice - Action Required by March 18, 2025!",0.9,legitimate
zs_bulk_password_reset_3,phishing,"Your Email Password Expiration Reminder - Take Action by March 18, 2025!",0.9,legitimate
zs_bulk_password_reset_1,phishing,"Urgent: Your Outlook.com Password Expiration Alert (March 18, 2025)",0.8,legitimate
zs_bulk_password_reset_4,phishing,"Important: Your Email Password Expiration Reminder - March 18, 2025",-0.0,legitimate
zs_bulk_password_reset_8,phishing,Important: Your Password Expiration Notice - 03/18/2025,-0.0,legitimate
zs_bulk_password_reset_7,phishing,"Your Email Password Expiration Notification - Action Required by March 18th, 2025",-0.0,legitimate
zs_bulk_password_reset_9,phishing,Your email password expiration notice - act now!,4.0,phishing
zs_bulk_password_reset_6,phishing,"Your Email Password Expiration Notice - Take Action by March 18, 2025!",0.1,legitimate
zs_bulk_password_reset_5,phishing,Important: Password Expiration Notice for your hotmail.com Account,-0.0,legitimate
zs_bulk_prize_1,phishing,You've Won a $500 Amazon Gift Card!,0.8,legitimate
zs_bulk_prize_0,phishing,You Have Won a $500 Amazon Gift Card!,-0.0,legitimate
